Date,Year,Coral_Cover_Percent,Environmental_Stress,Hurricane_Frequency,Disturbance
1981-01-15,1981,73.05,0.194,1.22,Baseline
1981-07-15,1981,70.99,0.242,1.55,Baseline
1982-01-15,1982,68.55,0.184,0.76,Baseline
1982-07-15,1982,66.14,0.19,0.52,Baseline
1983-01-15,1983,67.02,0.214,0.81,Baseline
1983-07-15,1983,64.47,0.312,1.55,Baseline
1984-01-15,1984,61.17,0.161,0.03,Baseline
1984-07-15,1984,60.44,0.296,1.82,Baseline
1985-01-15,1985,63.29,0.141,0.14,Baseline
1985-07-15,1985,64.34,0.211,1.24,Baseline
1986-01-15,1986,62.6,0.183,0.86,Baseline
1986-07-15,1986,59.99,0.159,0.88,Baseline
1987-01-15,1987,58.93,0.235,1.03,Baseline
1987-07-15,1987,65.25,0.23,1.22,Baseline
1988-01-15,1988,61.71,0.176,0.74,Forced
1988-07-15,1988,60.48,0.125,0.46,Forced
1989-01-15,1989,60.82,0.239,0.93,Forced
1989-07-15,1989,59.4,0.297,1.94,Forced
1990-01-15,1990,57.78,0.32,1.71,Forced
1990-07-15,1990,59.97,0.388,2.0,Forced
1991-01-15,1991,54.32,0.477,2.12,Forced
1991-07-15,1991,52.45,0.431,2.08,Forced
1992-01-15,1992,50.79,0.468,2.05,Forced
1992-07-15,1992,47.31,0.477,2.24,Forced
1993-01-15,1993,41.9,0.559,2.43,Forced
1993-07-15,1993,41.08,0.557,3.26,Forced
1994-01-15,1994,42.86,0.597,2.76,Forced
1994-07-15,1994,39.46,0.68,3.14,Forced
1995-01-15,1995,37.54,0.631,2.76,Forced
1995-07-15,1995,35.94,0.636,2.95,Forced
1996-01-15,1996,32.7,0.702,3.36,Forced
1996-07-15,1996,31.52,0.767,3.82,Forced
1997-01-15,1997,27.41,0.765,3.63,Forced
1997-07-15,1997,21.06,0.823,3.63,Forced
1998-01-15,1998,17.36,0.767,3.38,Forced
1998-07-15,1998,17.63,0.757,3.99,Forced
1999-01-15,1999,12.27,0.748,3.7,Forced
1999-07-15,1999,6.23,0.687,3.63,Forced
2000-01-15,2000,5.0,0.731,3.89,Forced
2000-07-15,2000,5.0,0.678,3.44,Forced
2001-01-15,2001,5.0,0.737,3.31,Forced
2001-07-15,2001,5.0,0.585,2.98,Forced
2002-01-15,2002,5.0,0.703,3.93,Forced
2002-07-15,2002,5.0,0.551,2.62,Forced
2003-01-15,2003,5.0,0.513,2.67,Forced
2003-07-15,2003,5.0,0.509,2.54,Forced
2004-01-15,2004,5.0,0.623,3.52,Forced
2004-07-15,2004,5.0,0.498,2.29,Forced
2005-01-15,2005,5.0,0.501,2.85,Forced
2005-07-15,2005,5.0,0.441,2.09,Forced
2006-01-15,2006,5.0,0.42,1.89,Forced
2006-07-15,2006,5.0,0.375,1.91,Forced
2007-01-15,2007,7.21,0.378,1.99,Forced
2007-07-15,2007,7.77,0.375,2.45,Forced
2008-01-15,2008,9.1,0.409,2.14,Forced
2008-07-15,2008,10.75,0.206,1.09,Forced
