Date,Year,Month,Chlorophyll_a_ugL,Total_Phosphorus_mgL,Secchi_Depth_m,Disturbance
1995-01-15,1995,1,10.6,0.012,1.45,Baseline
1995-02-15,1995,2,18.42,0.082,1.53,Baseline
1995-03-15,1995,3,4.28,0.067,2.18,Baseline
1995-04-15,1995,4,5.69,0.145,1.96,Baseline
1995-05-15,1995,5,11.56,0.122,1.21,Baseline
1995-06-15,1995,6,19.55,0.147,0.97,Baseline
1995-07-15,1995,7,26.8,0.154,0.66,Baseline
1995-08-15,1995,8,2.0,0.137,2.07,Baseline
1995-09-15,1995,9,4.08,0.125,2.33,Baseline
1995-10-15,1995,10,4.09,0.019,2.03,Baseline
1995-11-15,1995,11,7.61,0.034,1.55,Baseline
1995-12-15,1995,12,9.24,0.042,1.6,Baseline
1996-01-15,1996,1,9.73,0.043,1.62,Baseline
1996-02-15,1996,2,13.27,0.068,1.23,Baseline
1996-03-15,1996,3,12.23,0.056,1.35,Baseline
1996-04-15,1996,4,13.18,0.115,1.44,Baseline
1996-05-15,1996,5,11.09,0.12,1.35,Baseline
1996-06-15,1996,6,4.01,0.135,2.2,Baseline
1996-07-15,1996,7,6.43,0.086,1.49,Baseline
1996-08-15,1996,8,4.48,0.131,1.82,Baseline
1996-09-15,1996,9,4.66,0.086,2.17,Baseline
1996-10-15,1996,10,6.38,0.083,1.57,Baseline
1996-11-15,1996,11,2.0,0.048,2.55,Baseline
1996-12-15,1996,12,2.0,0.04,2.47,Baseline
1997-01-15,1997,1,2.0,0.064,2.43,Baseline
1997-02-15,1997,2,3.42,0.044,2.07,Baseline
1997-03-15,1997,3,6.16,0.111,2.04,Baseline
1997-04-15,1997,4,2.0,0.115,2.85,Baseline
1997-05-15,1997,5,3.88,0.121,2.22,Baseline
1997-06-15,1997,6,3.97,0.156,2.21,Baseline
1997-07-15,1997,7,2.17,0.136,2.33,Baseline
1997-08-15,1997,8,2.0,0.146,2.26,Baseline
1997-09-15,1997,9,4.22,0.067,2.1,Baseline
1997-10-15,1997,10,5.74,0.067,1.71,Baseline
1997-11-15,1997,11,6.64,0.066,1.45,Baseline
1997-12-15,1997,12,8.27,0.043,1.8,Baseline
1998-01-15,1998,1,12.69,0.042,1.49,Baseline
1998-02-15,1998,2,12.48,0.061,1.16,Baseline
1998-03-15,1998,3,12.85,0.063,1.36,Baseline
1998-04-15,1998,4,19.94,0.111,1.2,Baseline
1998-05-15,1998,5,16.51,0.103,1.17,Baseline
1998-06-15,1998,6,22.22,0.196,0.69,Baseline
1998-07-15,1998,7,18.55,0.158,1.0,Baseline
1998-08-15,1998,8,15.75,0.103,1.43,Baseline
1998-09-15,1998,9,14.54,0.072,1.27,Baseline
1998-10-15,1998,10,18.04,0.072,1.18,Baseline
1998-11-15,1998,11,22.25,0.027,1.0,Baseline
1998-12-15,1998,12,16.99,0.048,0.94,Baseline
1999-01-15,1999,1,6.01,0.047,1.75,Baseline
1999-02-15,1999,2,9.09,0.069,1.64,Baseline
1999-03-15,1999,3,21.2,0.113,1.13,Baseline
1999-04-15,1999,4,21.52,0.118,1.17,Baseline
1999-05-15,1999,5,7.74,0.139,1.52,Baseline
1999-06-15,1999,6,9.72,0.146,1.61,Baseline
1999-07-15,1999,7,10.96,0.129,1.67,Baseline
1999-08-15,1999,8,11.68,0.107,1.19,Baseline
1999-09-15,1999,9,17.42,0.088,1.39,Baseline
1999-10-15,1999,10,25.12,0.057,1.18,Baseline
1999-11-15,1999,11,23.2,0.05,1.43,Baseline
1999-12-15,1999,12,15.49,0.032,1.22,Baseline
2000-01-15,2000,1,20.87,0.037,1.02,Baseline
2000-02-15,2000,2,7.78,0.09,1.85,Baseline
2000-03-15,2000,3,5.67,0.068,2.07,Baseline
2000-04-15,2000,4,4.52,0.106,2.29,Baseline
2000-05-15,2000,5,5.31,0.145,2.12,Baseline
2000-06-15,2000,6,8.09,0.152,1.64,Baseline
2000-07-15,2000,7,8.5,0.142,1.87,Baseline
2000-08-15,2000,8,5.77,0.129,1.69,Baseline
2000-09-15,2000,9,10.04,0.095,1.5,Baseline
2000-10-15,2000,10,9.53,0.053,1.85,Baseline
2000-11-15,2000,11,10.54,0.054,1.21,Baseline
2000-12-15,2000,12,12.94,0.013,1.17,Baseline
2001-01-15,2001,1,13.22,0.068,1.43,Baseline
2001-02-15,2001,2,12.72,0.026,1.4,Baseline
2001-03-15,2001,3,19.22,0.091,0.85,Baseline
2001-04-15,2001,4,20.35,0.115,0.91,Baseline
2001-05-15,2001,5,25.22,0.098,0.62,Baseline
2001-06-15,2001,6,26.58,0.099,1.02,Baseline
2001-07-15,2001,7,44.19,0.158,0.5,Baseline
2001-08-15,2001,8,35.7,0.133,1.01,Baseline
2001-09-15,2001,9,26.83,0.049,0.83,Baseline
2001-10-15,2001,10,25.97,0.049,0.79,Baseline
2001-11-15,2001,11,18.85,0.072,0.98,Baseline
2001-12-15,2001,12,11.56,0.048,1.34,Baseline
2002-01-15,2002,1,9.42,0.062,1.57,Baseline
2002-02-15,2002,2,8.02,0.057,2.17,Baseline
2002-03-15,2002,3,5.1,0.114,1.92,Baseline
2002-04-15,2002,4,7.1,0.132,1.69,Baseline
2002-05-15,2002,5,5.79,0.137,1.91,Baseline
2002-06-15,2002,6,7.52,0.133,1.93,Baseline
2002-07-15,2002,7,8.02,0.137,1.38,Baseline
2002-08-15,2002,8,8.95,0.101,1.67,Baseline
2002-09-15,2002,9,12.62,0.102,1.16,Baseline
2002-10-15,2002,10,9.7,0.061,1.63,Baseline
2002-11-15,2002,11,13.01,0.05,1.21,Baseline
2002-12-15,2002,12,20.04,0.02,0.54,Baseline
2003-01-15,2003,1,19.05,0.058,1.11,Baseline
2003-02-15,2003,2,12.76,0.088,1.39,Baseline
2003-03-15,2003,3,9.69,0.075,1.41,Baseline
2003-04-15,2003,4,9.94,0.146,1.38,Baseline
2003-05-15,2003,5,8.34,0.129,1.37,Baseline
2003-06-15,2003,6,5.1,0.101,2.14,Baseline
2003-07-15,2003,7,6.55,0.119,1.99,Baseline
2003-08-15,2003,8,6.83,0.155,1.61,Baseline
2003-09-15,2003,9,8.64,0.096,1.5,Baseline
2003-10-15,2003,10,14.6,0.065,1.21,Baseline
2003-11-15,2003,11,12.88,0.056,1.77,Baseline
2003-12-15,2003,12,5.96,0.01,1.99,Baseline
2004-01-15,2004,1,5.13,0.022,1.79,Forced
2004-02-15,2004,2,8.14,0.016,1.71,Forced
2004-03-15,2004,3,11.7,0.086,1.11,Forced
2004-04-15,2004,4,15.54,0.129,1.32,Forced
2004-05-15,2004,5,12.5,0.146,1.67,Forced
2004-06-15,2004,6,18.07,0.163,1.4,Forced
2004-07-15,2004,7,25.35,0.12,1.0,Forced
2004-08-15,2004,8,17.47,0.13,0.98,Forced
2004-09-15,2004,9,17.37,0.122,0.84,Forced
2004-10-15,2004,10,29.64,0.056,0.48,Forced
2004-11-15,2004,11,18.22,0.078,0.5,Forced
2004-12-15,2004,12,5.49,0.066,2.08,Forced
2005-01-15,2005,1,10.79,0.062,1.42,Forced
2005-02-15,2005,2,17.34,0.09,1.28,Forced
2005-03-15,2005,3,14.56,0.129,1.51,Forced
2005-04-15,2005,4,14.74,0.132,1.23,Forced
2005-05-15,2005,5,8.22,0.156,1.68,Forced
2005-06-15,2005,6,9.84,0.204,1.42,Forced
2005-07-15,2005,7,16.64,0.141,1.06,Forced
2005-08-15,2005,8,14.4,0.178,1.37,Forced
2005-09-15,2005,9,20.64,0.146,0.94,Forced
2005-10-15,2005,10,24.34,0.12,0.81,Forced
2005-11-15,2005,11,26.5,0.082,0.82,Forced
2005-12-15,2005,12,18.48,0.075,1.23,Forced
2006-01-15,2006,1,16.08,0.139,1.01,Forced
2006-02-15,2006,2,4.89,0.16,2.0,Forced
2006-03-15,2006,3,3.88,0.167,2.21,Forced
2006-04-15,2006,4,7.91,0.191,1.91,Forced
2006-05-15,2006,5,5.22,0.222,1.92,Forced
2006-06-15,2006,6,3.54,0.244,2.07,Forced
2006-07-15,2006,7,5.95,0.201,1.78,Forced
2006-08-15,2006,8,8.38,0.182,1.84,Forced
2006-09-15,2006,9,12.6,0.189,1.73,Forced
2006-10-15,2006,10,7.26,0.141,1.48,Forced
2006-11-15,2006,11,18.5,0.147,0.83,Forced
2006-12-15,2006,12,9.95,0.114,1.47,Forced
2007-01-15,2007,1,11.89,0.149,1.39,Forced
2007-02-15,2007,2,12.27,0.136,1.5,Forced
2007-03-15,2007,3,7.16,0.21,1.57,Forced
2007-04-15,2007,4,6.83,0.204,1.57,Forced
2007-05-15,2007,5,8.07,0.236,1.69,Forced
2007-06-15,2007,6,6.6,0.267,1.76,Forced
2007-07-15,2007,7,11.32,0.257,1.59,Forced
2007-08-15,2007,8,12.21,0.276,1.45,Forced
2007-09-15,2007,9,6.14,0.188,1.97,Forced
2007-10-15,2007,10,2.0,0.18,2.48,Forced
2007-11-15,2007,11,3.73,0.183,2.66,Forced
2007-12-15,2007,12,2.0,0.14,2.33,Forced
2008-01-15,2008,1,3.08,0.161,2.42,Forced
2008-02-15,2008,2,4.8,0.181,1.77,Forced
2008-03-15,2008,3,2.46,0.209,2.19,Forced
2008-04-15,2008,4,5.06,0.282,1.87,Forced
2008-05-15,2008,5,2.0,0.279,2.83,Forced
2008-06-15,2008,6,3.05,0.292,2.35,Forced
2008-07-15,2008,7,3.52,0.239,2.1,Forced
2008-08-15,2008,8,3.85,0.248,2.24,Forced
2008-09-15,2008,9,2.0,0.291,2.51,Forced
2008-10-15,2008,10,2.0,0.223,2.4,Forced
2008-11-15,2008,11,5.98,0.238,1.6,Forced
2008-12-15,2008,12,11.38,0.224,1.69,Forced
2009-01-15,2009,1,16.84,0.188,1.16,Forced
2009-02-15,2009,2,25.87,0.274,1.27,Forced
2009-03-15,2009,3,37.02,0.296,0.83,Forced
2009-04-15,2009,4,34.39,0.286,0.79,Forced
2009-05-15,2009,5,35.86,0.231,0.57,Forced
2009-06-15,2009,6,19.2,0.315,0.81,Forced
2009-07-15,2009,7,21.07,0.337,0.92,Forced
2009-08-15,2009,8,33.68,0.302,0.46,Forced
2009-09-15,2009,9,27.52,0.277,0.93,Forced
2009-10-15,2009,10,39.76,0.265,0.93,Forced
2009-11-15,2009,11,41.69,0.287,0.53,Forced
2009-12-15,2009,12,21.99,0.247,1.13,Forced
2010-01-15,2010,1,14.56,0.25,1.08,Forced
2010-02-15,2010,2,22.66,0.31,0.86,Forced
2010-03-15,2010,3,29.75,0.238,0.59,Forced
2010-04-15,2010,4,33.6,0.332,0.26,Forced
2010-05-15,2010,5,33.13,0.352,0.69,Forced
2010-06-15,2010,6,39.61,0.433,0.63,Forced
2010-07-15,2010,7,55.25,0.366,0.67,Forced
2010-08-15,2010,8,83.92,0.357,0.48,Forced
2010-09-15,2010,9,100.0,0.281,0.43,Forced
2010-10-15,2010,10,89.29,0.298,0.11,Forced
2010-11-15,2010,11,71.21,0.315,0.46,Forced
2010-12-15,2010,12,67.85,0.306,0.7,Forced
